Stud_ID,MCQ1,MCQ2,MCQ3,MCQ4,MCQ5,MCQ6,MCQ7,MCQ8,MCQ9,MCQ10,MCQ11,MCQ12,MCQ13,MCQ14,MCQ15,MCQ16,score,finalGrade (7+1)
20150383,D,B,C,D,D,A,C,A,D,B,A,B,B,B,D,E,7,4.5
20170252,A,E,C,E,E,A,D,E,C,B,A,B,E,C,E,E,7,4.5
20170456,A,B,C,D,E,E,E,E,C,D,A,B,D,C,A,B,9,5
20180129,D,E,E,E,D,D,A,E,C,D,A,B,D,C,C,E,9,5
20180467,D,E,D,E,D,A,C,A,A,C,A,B,E,D,C,E,7,3.5
20190012,D,E,B,B,E,A,D,E,C,D,A,B,D,E,B,D,8,4.5
20190028,D,B,A,C,D,E,D,E,C,D,A,B,D,C,C,D,9,5.5
20190223,A,B,E,B,E,A,E,E,C,A,A,A,B,A,C,E,9,5
20190261,D,B,A,B,D,D,C,E,B,C,A,B,D,B,B,A,8,5
20190529,C,C,A,A,E,E,B,B,C,D,A,B,E,B,A,D,4,2.5
20190816,C,D,D,E,E,E,D,D,C,C,A,A,C,A,E,D,3,1.5
20200077,D,B,A,B,E,E,E,D,C,D,A,B,B,B,C,D,7,4.5
20200361,D,C,D,D,D,A,C,A,C,B,A,B,D,B,C,D,8,4
20200363,B,D,A,A,E,E,D,E,C,D,A,C,E,B,A,A,4,2.5
20200499,B,C,D,A,A,E,E,E,D,D,A,C,E,B,E,B,4,2
20200635,D,B,D,B,D,B,C,E,C,B,A,B,D,C,C,D,11,5.5
20200679,D,C,E,B,D,A,E,E,C,B,A,B,D,B,C,E,11,6
20200724,B,B,C,B,D,B,C,E,C,B,A,B,D,E,A,A,9,5
20200740,A,E,A,B,D,E,C,E,C,C,A,A,D,B,C,D,6,4
20200801,D,B,E,B,C,A,E,E,C,C,A,B,D,B,C,E,11,6
20200879,D,B,C,B,C,E,E,A,C,B,A,B,D,C,C,D,9,5.5
20200884,D,B,A,E,C,A,C,E,C,C,A,A,D,E,B,E,8,5
20201205,D,B,C,A,D,E,D,E,C,C,A,B,D,B,C,D,8,5
20210006,D,B,E,B,D,A,A,E,C,A,A,B,D,C,C,D,12,6.5
20210009,D,B,A,E,A,A,A,E,C,A,A,B,D,B,C,C,9,5.5
20210014,D,B,C,E,C,C,D,A,C,A,A,B,D,C,C,C,8,5
20210015,D,B,B,A,E,A,A,E,C,A,A,B,D,E,E,D,9,5
20210018,D,E,A,D,D,A,E,D,C,D,A,B,E,C,B,D,8,5
20210023,D,C,C,A,B,B,C,E,C,C,A,B,D,B,C,E,7,4.5
20210025,D,B,E,B,D,A,C,E,C,A,A,B,D,C,C,E,13,7
20210027,D,E,C,D,D,A,E,A,C,C,A,B,E,A,B,D,7,4.5
20210030,D,B,D,B,D,A,E,E,C,D,A,B,D,C,C,E,14,7
20210031,D,B,B,B,D,A,E,E,C,D,A,B,D,C,C,D,12,6.5
20210033,D,B,C,E,E,A,B,E,C,A,A,B,D,B,C,D,9,5.5
20210035,D,C,C,A,E,B,B,E,C,C,A,B,D,B,C,E,7,4.5
20210036,D,B,A,D,D,A,D,C,C,A,A,B,D,C,C,D,10,6
20210037,D,E,B,B,D,A,D,E,C,C,A,B,D,C,C,D,10,5.5
20210038,D,E,C,D,D,A,C,D,C,D,A,B,D,C,C,D,8,5
20210040,C,B,D,A,D,A,C,E,C,A,A,B,E,C,C,E,11,5.5
20210041,D,B,C,B,D,D,B,C,C,D,A,B,C,B,C,D,7,4.5
20210042,D,B,C,B,D,E,A,E,C,C,A,B,D,B,C,D,9,5.5
20210044,D,B,C,A,D,A,E,D,C,A,A,B,D,B,A,D,11,6
20210045,D,B,C,B,B,A,E,E,C,C,A,B,D,C,B,C,11,6.5
20210046,D,B,A,B,C,A,A,E,C,D,A,B,D,C,C,D,10,6
20210048,D,B,C,A,D,B,D,E,C,B,A,A,E,B,C,D,6,4
20210049,D,B,A,E,B,A,E,E,C,D,A,B,E,C,B,D,9,5.5
20210050,D,B,C,E,D,A,E,E,C,A,A,B,D,C,A,E,14,7.5
20210052,D,B,C,A,D,B,E,E,C,B,A,B,D,B,A,D,10,5.5
20210055,D,B,E,E,A,A,B,E,C,D,A,B,D,B,A,D,9,4.5
20210059,D,B,C,E,E,A,D,E,C,C,A,B,D,C,C,E,10,6
20210063,D,B,C,E,E,C,B,E,C,D,A,B,D,C,B,A,8,5
20210064,D,B,C,B,D,A,A,E,C,D,A,B,D,C,C,D,11,6.5
20210067,D,B,A,E,D,D,A,E,C,D,A,B,D,C,C,C,9,5.5
20210069,D,B,D,E,D,A,D,E,C,C,A,B,D,C,A,E,13,6
20210071,D,C,C,C,C,E,C,,C,A,A,B,A,C,A,D,7,4
20210073,D,B,B,E,E,E,A,D,C,A,A,B,D,B,C,D,7,4
20210074,A,B,E,C,D,A,E,E,C,B,A,B,D,B,C,D,9,5
20210077,D,A,A,B,D,A,C,E,C,A,A,B,D,B,C,E,11,6.5
20210079,D,B,A,A,D,B,C,E,C,B,A,B,D,C,C,D,9,5.5
20210081,D,E,C,E,E,A,C,C,C,B,A,B,E,B,A,D,6,3.5
20210082,D,C,A,B,D,B,E,C,C,A,A,B,D,C,B,D,10,6
20210083,D,B,C,A,E,A,C,B,C,B,A,B,D,B,C,D,7,4.5
20210084,D,B,E,E,C,A,D,E,A,D,A,B,D,C,C,E,9,5
20210085,C,D,A,E,D,E,C,E,C,C,A,B,E,B,A,E,7,4
20210088,D,B,A,E,E,E,C,E,C,C,A,B,E,C,C,D,7,4.5
20210090,D,B,C,D,D,A,D,E,C,D,A,B,D,C,A,D,11,6
20210091,D,B,C,D,D,C,A,C,C,C,A,B,D,C,A,D,9,5
20210092,D,B,D,B,D,A,E,D,C,A,A,B,D,C,C,C,13,6.5
20210097,D,B,C,B,E,A,C,A,C,C,A,B,D,C,C,E,10,6
20210099,D,E,B,D,D,A,E,E,C,B,A,B,D,C,C,D,10,5.5
20210103,D,C,A,E,C,A,D,E,C,C,A,B,E,B,C,D,6,4
20210104,D,D,D,D,D,D,D,E,C,C,A,A,D,B,C,D,7,3.5
20210106,D,C,A,B,E,A,E,E,C,B,A,B,D,E,A,D,10,5.5
20210107,D,D,A,B,D,E,E,E,C,A,A,B,D,B,A,E,12,6.5
20210109,D,A,A,B,D,A,E,C,C,C,A,B,D,C,C,D,10,6
20210110,D,B,A,B,E,B,C,A,C,C,A,B,E,C,D,C,7,4.5
20210112,D,C,A,C,E,D,E,E,C,C,A,B,D,B,A,E,9,5
20210113,D,C,E,D,A,E,E,E,C,D,A,B,D,C,A,D,9,4.5
20210115,D,B,C,D,D,E,C,E,C,A,A,B,D,C,C,C,10,6
20210116,A,C,C,B,B,C,C,A,C,B,A,B,D,C,A,D,7,4
20210118,D,B,A,D,C,A,E,E,C,A,A,B,D,B,C,D,10,6
20210119,D,B,C,D,D,A,E,E,C,C,A,B,D,C,E,D,11,6.5
20210120,D,B,A,E,D,A,B,E,A,C,A,B,D,C,C,D,9,5.5
20210122,D,E,A,B,D,A,E,E,C,B,A,B,D,C,E,D,11,6.5
20210124,D,B,C,B,D,A,E,E,C,C,A,B,D,C,C,E,13,7.5
20210126,D,B,C,B,D,B,D,E,C,C,A,B,D,C,A,D,11,6
20210127,D,B,C,B,D,A,E,E,C,A,A,B,D,C,A,E,15,8
20210128,D,B,E,D,E,A,C,E,A,D,A,B,D,C,C,E,9,5
20210130,C,C,D,A,C,B,D,E,C,C,A,B,D,B,C,D,6,3
20210132,D,B,A,E,E,E,C,E,C,D,A,B,D,B,A,C,8,4.5
20210133,D,B,C,E,B,A,A,D,C,D,A,B,D,C,C,C,8,5
20210135,D,E,C,D,D,A,E,D,C,D,A,B,D,C,C,D,9,5.5
20210138,D,C,B,C,E,D,E,E,C,A,A,B,D,C,C,D,9,5
20210139,D,B,C,B,E,A,A,C,C,A,A,B,D,C,A,E,12,6.5
20210140,D,B,C,B,C,A,D,E,A,C,A,B,D,C,A,E,11,6
20210143,D,B,C,B,D,E,E,D,C,B,A,B,D,C,A,D,11,6
20210144,D,B,A,B,D,A,D,E,C,C,A,B,D,B,A,E,12,6.5
20210147,D,B,C,B,D,A,D,E,D,A,A,B,D,C,C,D,11,6.5
20210150,D,B,C,B,D,A,E,E,C,C,A,B,D,B,C,E,12,7
20210151,D,A,A,B,D,A,C,E,A,D,A,B,D,B,C,D,8,5
20210153,D,A,C,A,E,B,E,E,C,B,A,B,D,B,C,C,7,4.5
20210155,D,C,C,E,B,E,A,E,C,A,A,B,D,C,C,D,8,5
20210156,D,B,E,C,C,A,C,E,C,C,A,B,B,C,C,E,9,5
20210157,C,B,C,B,E,B,C,E,C,C,A,B,D,B,C,E,8,5
20210159,D,B,E,E,B,A,D,E,C,C,A,B,D,C,C,E,10,5.5
20210162,D,B,A,B,D,A,E,E,C,D,A,B,D,B,C,D,11,6.5
20210163,D,C,A,D,D,B,D,E,C,B,A,B,D,C,C,A,8,5
20210165,D,B,C,E,D,E,D,E,C,A,A,B,D,C,C,D,10,6
20210169,D,B,C,B,D,A,E,D,C,C,A,B,D,C,A,D,12,6.5
20210171,D,B,C,E,D,B,C,E,C,B,A,B,D,B,A,C,9,5
20210172,D,B,C,B,D,A,E,E,C,A,A,B,D,C,A,C,14,7.5
20210174,D,B,E,B,E,A,E,E,C,D,A,B,E,B,C,D,9,5
20210175,D,C,C,A,A,A,C,E,C,C,A,B,C,C,A,C,8,4.5
20210176,D,C,E,A,E,E,D,C,C,A,A,B,E,B,C,D,5,3
20210179,A,A,C,B,D,A,D,E,C,C,A,B,D,B,C,E,9,5.5
20210182,D,B,C,C,D,A,E,E,C,D,A,B,D,C,C,D,11,6.5
20210184,D,B,C,A,D,A,E,E,C,A,A,A,D,C,A,A,12,6.5
20210187,D,B,E,B,D,A,A,A,C,C,A,B,D,C,A,C,11,5.5
20210189,D,B,A,B,D,A,D,E,C,A,A,B,D,C,C,E,13,7.5
20210191,D,A,C,D,D,A,A,D,C,D,A,B,D,C,C,D,8,5
20210192,D,*,D,B,E,B,E,C,C,B,A,B,D,B,A,C,9,4
20210194,D,C,D,E,D,A,C,E,C,D,A,C,D,C,B,D,9,4.5
20210195,D,B,C,C,D,C,A,E,C,B,A,B,D,C,C,D,9,5.5
20210205,A,B,E,E,C,C,D,A,C,D,A,A,D,D,B,E,5,3
20210208,D,B,A,A,E,A,E,E,A,B,A,B,D,C,C,D,9,5.5
20210210,A,B,A,B,D,B,C,C,C,B,A,B,D,C,C,A,8,5
20210219,D,B,A,B,D,E,E,E,C,C,A,B,D,C,A,D,12,6.5
20210220,D,B,A,D,D,A,E,D,C,B,A,B,D,B,C,E,10,6
20210222,D,D,C,E,C,A,C,E,C,A,A,B,D,C,C,D,9,5.5
20210223,D,B,C,E,B,A,E,E,C,A,A,B,D,C,C,D,11,6.5
20210224,D,B,E,B,D,B,A,D,C,A,A,B,D,C,A,E,12,6
20210227,D,E,C,A,D,E,E,E,C,D,A,B,D,C,A,C,10,5.5
20210229,D,B,E,B,D,A,E,E,C,B,A,B,D,C,C,D,12,6.5
20210230,D,C,C,B,C,A,E,E,C,D,A,B,D,E,C,E,10,6
20210231,D,C,D,D,B,A,D,E,C,B,A,B,A,B,A,C,8,3.5
20210234,D,B,C,B,E,C,A,E,C,D,A,B,D,C,C,E,10,6
20210236,D,B,C,A,E,C,C,E,C,C,A,B,D,B,C,E,8,5
20210240,C,C,E,C,B,E,A,E,C,B,A,A,B,E,C,D,3,2
20210241,D,B,B,D,D,E,D,C,C,A,A,B,D,E,B,B,8,4.5
20210243,D,D,C,A,E,B,B,E,C,C,A,B,D,B,C,E,7,4.5
20210249,D,E,C,B,D,A,E,E,C,A,A,B,D,C,C,D,12,7
20210251,D,B,A,E,B,A,A,C,C,C,A,B,D,B,C,E,8,5
20210252,D,B,E,B,D,D,A,E,C,A,A,B,D,C,A,A,12,6
20210254,D,B,C,D,D,C,E,E,C,C,A,B,D,C,C,D,10,6
20210256,D,E,C,E,E,A,E,A,C,D,A,B,E,B,A,A,7,4
20210257,D,C,C,A,E,C,C,E,C,C,A,B,D,B,C,E,7,4.5
20210261,D,A,C,D,C,A,D,E,C,B,A,B,D,B,A,C,8,4.5
20210262,D,B,C,B,E,A,C,E,C,C,A,B,D,C,C,C,10,6
20210263,D,B,D,D,B,B,D,E,C,A,A,B,D,C,A,A,11,5
20210266,D,B,A,B,D,A,E,E,C,B,A,B,D,C,C,D,12,7
20210270,D,B,C,B,B,E,D,E,C,B,A,B,D,C,A,E,11,6
20210271,D,B,C,A,D,A,E,E,C,C,A,B,D,C,C,E,12,7
20210272,D,B,E,B,E,E,A,A,C,B,A,B,D,B,C,E,8,4.5
20210274,D,E,C,B,E,A,E,E,C,C,A,B,D,E,C,E,10,6
20210278,D,E,C,E,D,A,E,E,C,C,A,B,D,E,C,E,10,6
20210279,D,C,C,A,E,C,C,E,C,C,A,B,D,B,C,E,7,4.5
20210282,C,B,B,E,D,B,E,E,C,B,A,B,D,C,C,D,9,5
20210283,D,B,E,D,D,C,D,D,C,D,A,B,D,C,A,E,10,5
20210286,D,B,C,B,B,A,A,A,C,B,A,B,D,B,E,E,9,5.5
20210287,D,B,C,B,C,A,C,E,C,C,A,B,D,B,C,C,9,5.5
20210288,D,B,C,B,D,A,C,E,C,D,A,B,D,C,A,D,12,6.5
20210298,D,B,C,B,D,A,D,E,C,A,A,B,D,C,C,D,12,7
20210300,D,B,E,B,D,B,C,C,C,A,A,B,D,C,C,D,10,5.5
20210301,D,B,A,B,D,C,A,E,C,D,A,B,D,C,A,D,11,6
20210302,C,B,C,,D,A,D,D,C,D,A,B,E,D,C,D,6,4
20210303,D,B,D,C,E,C,C,A,A,C,A,B,D,B,C,D,6,3
20210305,D,C,C,D,D,A,D,C,C,C,A,B,D,B,C,D,7,4.5
20210309,D,B,C,E,D,A,A,E,C,D,A,B,D,C,A,E,12,6.5
20210310,D,A,C,A,D,A,E,E,C,A,A,B,D,C,C,E,12,7
20210312,D,B,A,C,C,E,A,E,A,A,A,B,D,C,B,D,8,5
20210313,D,C,D,A,D,A,E,C,C,B,A,B,D,B,C,D,9,4.5
20210315,D,B,C,E,D,A,D,E,C,B,A,B,D,C,C,D,10,6
20210318,D,E,C,B,D,A,E,E,C,B,A,B,D,E,C,E,11,6.5
20210323,A,E,A,B,E,E,E,E,C,C,A,B,D,D,A,C,8,4.5
20210326,C,C,C,A,E,A,B,E,C,D,A,B,C,B,B,D,5,3.5
20210327,D,B,A,C,D,C,C,E,C,C,A,B,E,C,B,A,8,5
20210330,D,B,C,B,D,A,E,E,C,A,A,B,D,C,C,E,14,8
20210331,D,B,E,B,E,A,E,E,C,D,A,B,D,B,C,E,11,6
20210338,D,B,E,B,B,A,A,E,C,A,A,B,D,C,C,A,11,6
20210340,A,D,E,C,E,A,D,E,B,A,A,B,B,E,C,C,5,3
20210341,D,B,E,B,C,B,A,E,C,A,A,B,D,C,C,A,10,5.5
20210343,D,B,C,E,D,A,E,E,C,C,A,B,D,C,C,D,11,6.5
20210346,D,B,C,E,D,A,A,E,C,D,A,B,D,C,A,E,12,6.5
20210348,D,B,C,E,E,A,D,E,C,A,A,B,D,C,A,D,11,6
20210349,D,B,C,C,D,A,D,E,C,D,A,A,E,C,E,D,8,5
20210350,D,D,E,C,C,C,E,E,A,C,A,B,D,B,C,A,6,3.5
20210352,D,B,E,B,D,A,A,E,C,D,A,B,D,B,C,E,11,6
20210353,D,B,A,B,D,A,A,E,C,A,A,B,D,C,C,A,12,7
20210357,D,E,A,B,E,E,A,A,C,B,A,B,D,B,E,E,7,4.5
20210358,D,B,A,B,C,A,D,E,C,B,A,B,D,C,A,D,11,6
20210361,D,B,C,B,B,A,D,E,C,B,A,B,D,C,A,E,12,6.5
20210362,D,B,A,B,C,C,E,E,C,C,A,B,D,C,A,E,12,6.5
20210363,D,B,C,E,D,C,E,E,C,C,A,B,D,B,C,E,10,6
20210364,D,D,C,C,D,D,E,E,D,C,A,A,A,B,C,D,5,3.5
20210368,D,E,C,B,D,A,E,E,C,D,A,B,D,C,C,E,12,7
20210370,D,C,C,A,E,B,B,E,C,C,A,B,D,B,C,E,7,4.5
20210371,D,B,A,A,D,A,A,E,D,D,A,B,C,B,A,D,8,4.5
20210372,D,B,C,D,D,A,B,D,C,C,A,B,C,C,B,E,9,5.5
20210373,D,B,A,B,D,A,C,E,C,B,A,B,D,E,C,C,10,6
20210375,D,B,C,B,E,C,C,E,C,C,A,B,C,C,C,D,8,5
20210376,D,B,C,B,D,A,E,A,C,A,A,B,D,C,C,E,13,7.5
20210377,D,B,C,C,D,B,C,C,C,A,A,B,D,E,C,D,8,5
20210378,D,C,D,B,D,B,D,C,D,A,A,B,D,C,A,D,10,4.5
20210379,D,B,C,E,E,E,E,E,C,C,A,B,D,C,C,E,10,6
20210380,D,C,C,B,D,A,D,E,C,A,A,B,D,C,A,D,12,6.5
20210381,D,C,D,B,E,A,C,E,C,D,A,B,D,B,B,D,9,4.5
20210382,D,B,A,D,E,A,D,E,C,B,A,B,D,C,C,E,10,6
20210383,D,C,E,B,D,A,D,E,C,A,A,B,D,C,C,D,11,6
20210384,D,D,E,E,D,A,D,E,C,D,A,B,D,B,C,D,8,4.5
20210386,D,B,A,B,D,A,E,E,C,A,A,B,D,C,C,D,13,7.5
20210387,D,D,B,A,E,E,D,E,C,B,A,B,D,C,E,E,8,4.5
20210388,D,C,D,B,E,A,D,A,C,C,A,B,D,D,C,D,8,4
20210392,D,C,D,C,E,C,C,E,C,D,A,B,E,C,A,E,9,4
20210394,D,B,C,B,D,A,A,D,C,B,A,B,E,B,C,C,8,5
20210398,D,C,D,B,D,B,D,C,D,A,A,B,D,C,A,D,10,4.5
20210401,D,B,C,B,E,A,E,E,C,B,A,B,C,E,A,E,11,6
20210405,D,B,C,A,D,A,A,C,C,B,A,B,D,C,C,A,9,5.5
20210406,D,E,E,B,E,A,E,E,C,B,A,B,D,C,C,D,10,5.5
20210411,D,B,D,C,D,A,C,E,C,B,A,B,D,C,C,D,11,5.5
20210412,D,B,A,B,D,A,A,E,C,C,A,B,E,C,C,D,10,6
20210413,D,B,B,B,D,B,C,D,C,B,A,B,D,C,C,D,9,5
20210416,D,B,B,B,D,A,D,D,C,A,A,B,D,C,A,E,13,6.5
20210418,D,B,E,E,D,A,E,E,C,A,A,B,D,C,C,E,13,7
20210419,D,B,A,B,C,D,C,E,C,A,A,B,D,C,C,A,10,6
20210421,D,B,C,B,E,E,C,C,C,A,A,B,D,E,A,D,9,5
20210422,D,B,A,A,D,A,A,E,C,D,A,B,D,C,A,C,11,6
20210427,D,E,A,A,E,A,C,E,C,B,A,B,D,B,E,D,7,4.5
20210428,D,B,B,B,D,A,E,E,C,B,A,B,D,C,C,E,13,7
20210429,D,B,A,B,D,A,E,E,C,A,A,B,D,C,C,E,14,8
20210430,D,B,A,B,D,A,E,D,C,C,A,B,D,C,A,D,12,6.5
20210436,D,D,C,B,D,B,C,E,C,C,A,B,D,C,C,D,9,5.5
20210437,D,B,C,B,C,A,A,D,C,D,A,B,D,E,A,C,9,5
20210438,D,E,E,C,E,D,E,E,C,A,A,B,D,B,A,C,9,4.5
20210440,D,C,A,D,D,A,C,E,C,C,A,B,D,B,C,E,9,5.5
20210441,D,B,A,C,D,B,B,E,C,C,A,B,D,B,A,D,9,5
20210442,D,B,E,E,D,B,E,E,C,A,A,B,A,E,C,B,9,5
20210444,D,C,C,E,D,D,E,E,C,C,A,B,C,E,C,E,8,5
20210446,D,D,A,B,D,A,B,E,C,B,A,B,D,C,C,D,10,6
20210448,A,A,C,B,E,A,A,E,C,D,A,C,A,B,A,C,6,3.5
20210449,D,B,A,B,D,B,C,E,C,A,A,B,D,B,A,D,11,6
20210451,D,B,A,B,D,B,C,A,C,C,A,B,D,B,A,D,9,5
20210452,D,B,E,B,D,E,E,E,C,D,A,B,D,D,A,A,11,5.5
20210456,D,D,E,E,D,A,E,E,C,A,A,B,D,C,C,E,12,6.5
20210457,D,B,D,D,D,E,E,E,C,C,A,B,D,C,E,D,11,5.5
20210458,D,B,A,B,D,E,D,E,C,C,A,B,C,C,A,D,10,5.5
20210460,D,B,A,B,D,A,E,C,C,C,A,B,D,B,A,E,12,6.5
20210468,A,E,A,A,E,D,E,D,C,C,A,A,A,C,C,D,4,3
20210472,D,B,C,B,D,E,E,A,C,A,A,B,D,C,C,C,11,6.5
20210473,A,C,D,A,B,E,D,A,C,B,A,B,D,C,B,A,6,3
20210475,D,B,A,E,D,C,E,B,C,B,A,B,D,B,C,D,8,5
20210478,D,B,A,A,D,C,D,E,A,B,A,B,D,C,C,D,8,5
20210480,D,B,E,B,D,A,E,E,C,A,A,B,D,C,C,E,14,7.5
20210481,D,A,C,B,D,A,E,D,C,A,A,B,D,B,C,D,10,6
20210483,D,A,B,D,D,C,A,C,C,C,A,A,D,C,A,D,7,3.5
20210486,D,B,A,D,C,A,E,E,A,B,A,B,D,B,E,D,8,5
20210488,D,B,C,B,D,A,E,E,C,B,A,A,D,C,A,E,13,7
20210490,D,B,B,B,D,A,E,E,C,A,A,B,D,C,C,D,13,7
20210491,D,A,B,D,D,A,E,C,C,B,A,B,D,C,C,D,9,5
20210492,D,B,C,C,D,A,C,C,C,C,A,B,D,B,C,D,8,5
20210495,D,B,D,D,B,A,A,E,C,A,A,B,D,C,C,C,11,5.5
20210496,D,A,A,B,D,,D,E,A,C,A,B,C,D,A,D,7,4
20210497,D,B,C,B,B,A,E,E,C,A,A,B,D,B,C,E,12,7
20210498,D,C,D,C,B,A,E,A,D,C,A,D,D,B,A,B,7,3
20210499,D,B,C,B,E,A,A,E,C,C,A,B,D,C,C,D,10,6
20210500,D,B,C,D,B,B,E,E,C,A,A,B,D,C,C,D,10,6
20210501,D,B,A,D,E,A,E,E,C,D,A,B,D,B,A,D,10,5.5
20210502,D,B,C,B,D,A,C,E,C,A,A,B,D,C,C,E,13,7.5
20210503,D,C,C,B,B,B,E,E,C,B,A,B,D,B,A,C,9,5
20210505,D,A,C,B,D,A,E,E,C,A,A,B,D,C,C,C,12,7
20210506,D,B,C,B,D,A,E,C,C,A,A,B,D,C,C,A,12,7
20210508,D,B,D,B,C,A,E,E,C,A,A,B,D,C,A,A,14,6.5
20210509,D,C,D,B,B,A,E,E,C,C,A,B,C,C,C,A,10,5
20210510,D,B,A,A,D,B,E,A,C,C,A,B,D,C,C,D,9,5.5
20210514,D,B,A,E,D,A,E,E,C,A,A,B,D,C,C,E,13,7.5
20210515,D,B,C,B,C,A,C,E,C,D,A,B,D,C,C,C,10,6
20210518,D,E,C,E,D,C,E,C,C,C,A,B,D,C,C,D,8,5
20210523,D,B,A,B,D,A,A,A,C,A,A,B,D,C,A,E,13,7
20210524,D,B,C,E,D,A,C,E,A,A,A,B,D,C,C,D,10,6
20210527,D,C,C,B,B,B,E,E,C,B,A,B,D,C,C,E,10,6
20210537,D,C,A,C,D,B,E,E,C,A,A,B,D,E,A,D,10,5.5
20210538,D,C,E,B,E,B,E,E,C,D,A,B,B,B,C,D,7,4
20210539,D,B,C,E,D,E,E,E,A,C,A,B,E,C,C,A,8,5
20210542,D,D,C,B,E,A,E,E,C,B,A,B,D,C,C,D,10,6
20210550,D,B,D,E,D,E,A,C,C,B,A,B,D,B,C,D,8,4
20210551,D,D,E,B,D,A,C,E,C,B,A,A,D,C,D,C,9,5
20210564,D,B,C,B,D,A,D,A,C,D,A,B,D,B,C,D,9,5.5
20210566,D,C,C,A,D,A,B,C,C,A,A,C,D,B,C,E,8,5
20210579,B,B,A,B,D,E,E,E,C,A,A,B,D,B,C,D,10,6
20210589,D,C,A,E,D,A,B,E,C,A,A,B,D,E,C,D,9,5.5
20210591,D,B,D,E,D,A,,E,C,C,A,A,D,E,C,E,10,5
20210593,D,C,C,B,D,C,E,E,C,D,A,B,A,D,A,D,9,5
20210594,D,B,A,A,B,A,E,D,C,C,A,B,D,B,A,D,9,5
20210713,D,B,C,E,B,A,D,E,C,,A,B,D,C,A,E,11,6
20210714,D,B,C,D,B,A,E,E,C,A,A,B,D,C,A,D,12,6.5
20210721,D,B,C,C,D,A,E,E,A,A,A,B,C,B,C,A,9,5.5
20210733,D,C,B,C,D,A,B,C,C,C,A,B,D,C,C,D,8,4.5
20210761,D,B,C,E,E,B,D,E,C,D,A,B,D,B,C,D,7,4.5
20210765,D,E,D,D,B,E,A,E,C,B,A,B,D,B,A,D,8,3.5
20210784,D,B,A,B,D,A,E,E,A,A,A,B,D,C,C,E,13,7.5
20210788,D,C,E,D,E,B,C,A,C,C,A,B,D,B,C,D,5,3
20210789,D,B,A,D,E,E,E,E,C,B,A,B,D,E,E,D,8,5
20210791,D,B,C,B,E,A,C,E,C,D,A,B,D,C,C,D,10,6
